0,1325,695,1,NOT_SPEAKING
1,1325,695,1,NOT_SPEAKING
2,1325,695,1,NOT_SPEAKING
3,1324,696,1,NOT_SPEAKING
4,1324,696,1,NOT_SPEAKING
5,1323,696,1,NOT_SPEAKING
6,1322,696,1,NOT_SPEAKING
7,1322,697,1,NOT_SPEAKING
8,1321,697,1,NOT_SPEAKING
9,1321,697,1,NOT_SPEAKING
10,1320,696,1,NOT_SPEAKING
11,1320,696,1,NOT_SPEAKING
12,1319,696,1,NOT_SPEAKING
13,1319,696,1,NOT_SPEAKING
14,1318,696,1,NOT_SPEAKING
15,1318,696,1,NOT_SPEAKING
16,1317,696,1,NOT_SPEAKING
17,1317,696,1,NOT_SPEAKING
18,1316,696,1,NOT_SPEAKING
19,1316,696,1,NOT_SPEAKING
20,1315,696,1,NOT_SPEAKING
21,1315,696,1,NOT_SPEAKING
22,1315,696,1,NOT_SPEAKING
23,1315,696,1,NOT_SPEAKING
24,1315,696,1,NOT_SPEAKING
25,1315,696,1,NOT_SPEAKING
26,1315,697,1,NOT_SPEAKING
27,1315,697,1,NOT_SPEAKING
28,1315,697,1,NOT_SPEAKING
29,1315,697,1,NOT_SPEAKING
30,1315,697,1,NOT_SPEAKING
31,1315,697,1,NOT_SPEAKING
32,1315,697,1,NOT_SPEAKING
33,1315,697,1,NOT_SPEAKING
34,1315,697,1,NOT_SPEAKING
35,1315,697,1,NOT_SPEAKING
36,1315,697,1,NOT_SPEAKING
37,1315,697,1,NOT_SPEAKING
38,1315,697,1,NOT_SPEAKING
39,1315,697,1,NOT_SPEAKING
40,1314,697,1,NOT_SPEAKING
41,1314,697,1,NOT_SPEAKING
42,1313,697,1,NOT_SPEAKING
43,1312,697,1,NOT_SPEAKING
44,1312,697,1,NOT_SPEAKING
45,1311,697,1,NOT_SPEAKING
46,1310,697,1,NOT_SPEAKING
47,1309,697,1,NOT_SPEAKING
48,1308,698,1,NOT_SPEAKING
49,1307,698,1,NOT_SPEAKING
50,1306,698,1,NOT_SPEAKING
51,1305,698,1,NOT_SPEAKING
52,1304,698,1,NOT_SPEAKING
53,1303,698,1,NOT_SPEAKING
54,1301,698,1,NOT_SPEAKING
55,1299,698,1,NOT_SPEAKING
56,1297,698,1,NOT_SPEAKING
57,1295,698,1,NOT_SPEAKING
58,1293,698,1,NOT_SPEAKING
59,1290,698,1,NOT_SPEAKING
60,1288,697,1,NOT_SPEAKING
61,1285,696,1,NOT_SPEAKING
62,1281,695,1,NOT_SPEAKING
63,1277,693,1,NOT_SPEAKING
64,1273,692,1,NOT_SPEAKING
65,1268,690,1,NOT_SPEAKING
66,1262,689,1,NOT_SPEAKING
67,1255,688,1,NOT_SPEAKING
68,1247,688,1,NOT_SPEAKING
69,1238,687,1,NOT_SPEAKING
70,1229,687,1,NOT_SPEAKING
71,1219,687,1,SPEAKING
72,1210,686,1,SPEAKING
73,1201,686,1,SPEAKING
74,1194,685,1,SPEAKING
75,1187,685,1,SPEAKING
76,1182,685,1,SPEAKING
77,1178,685,1,SPEAKING
78,1175,684,1,SPEAKING
79,1174,684,1,SPEAKING
80,1173,684,1,SPEAKING
81,1174,685,1,SPEAKING
82,1176,685,1,SPEAKING
